Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
22	Spectrogram 1	1	104.349223197	104.398700970	55683.9	90804.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0495	742-B5-A30_0001.flac	6	
23	Spectrogram 1	1	107.603498140	107.614756555	68622.9	79020.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	
24	Spectrogram 1	1	111.828367130	111.863920021	64695.0	85489.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0356	742-B5-A30_0001.flac	6	
25	Spectrogram 1	1	112.120197152	112.141528886	60073.9	72088.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0213	742-B5-A30_0001.flac	4	
26	Spectrogram 1	1	113.827624947	113.843920022	70240.3	80637.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0163	742-B5-A30_0001.flac	4	
27	Spectrogram 1	1	116.902654067	116.913616208	58225.5	89417.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0110	742-B5-A30_0001.flac	6	
28	Spectrogram 1	1	116.875100577	116.885173896	62384.5	73937.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0101	742-B5-A30_0001.flac	4	
29	Spectrogram 1	1	117.003387256	117.040421517	66543.4	84103.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0370	742-B5-A30_0001.flac	6	
30	Spectrogram 1	1	118.450389856	118.500756451	58225.5	92652.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0504	742-B5-A30_0001.flac	6	
31	Spectrogram 1	1	120.112487669	120.123153536	70009.2	80175.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0107	742-B5-A30_0001.flac	4	
32	Spectrogram 1	1	120.909168782	120.937611094	66312.4	92652.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0284	742-B5-A30_0001.flac	6	
33	Spectrogram 1	1	121.276548696	121.302324542	66312.4	77634.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0258	742-B5-A30_0001.flac	4	
34	Spectrogram 1	1	124.715402441	124.724290664	67467.7	78789.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0089	742-B5-A30_0001.flac	4	
35	Spectrogram 1	1	127.376536615	127.409719313	70702.4	85720.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0332	742-B5-A30_0001.flac	4	
36	Spectrogram 1	1	127.499786681	127.546597987	52449.2	60998.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0468	742-B5-A30_0001.flac	4	
37	Spectrogram 1	1	132.579999054	132.591850017	34427.0	47134.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0119	742-B5-A30_0001.flac	4	
38	Spectrogram 1	1	133.809240380	133.819313699	74861.4	89879.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0101	742-B5-A30_0001.flac	4	
39	Spectrogram 1	1	138.604437080	138.645915452	64695.0	86183.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0415	742-B5-A30_0001.flac	6	
40	Spectrogram 1	1	138.957003290	138.986630699	60998.2	84565.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0296	742-B5-A30_0001.flac	6	
41	Spectrogram 1	1	139.888785386	139.919597891	68160.8	89879.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0308	742-B5-A30_0001.flac	6	
42	Spectrogram 1	1	143.575916862	143.584805085	67236.6	72781.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0089	742-B5-A30_0001.flac	4	
43	Spectrogram 1	1	146.108468082	146.117948853	42513.9	50369.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0095	742-B5-A30_0001.flac	4	
44	Spectrogram 1	1	146.981883957	147.052693463	60073.9	87569.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0708	742-B5-A30_0001.flac	6	
45	Spectrogram 1	1	149.727159971	149.752343269	66774.5	77634.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0252	742-B5-A30_0001.flac	4	
46	Spectrogram 1	1	151.609389478	151.633387679	73244.0	85027.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0240	742-B5-A30_0001.flac	4	
47	Spectrogram 1	1	154.712564636	154.762338682	67005.5	86414.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0498	742-B5-A30_0001.flac	6	
48	Spectrogram 1	1	155.021578555	155.040243822	63770.8	84334.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0187	742-B5-A30_0001.flac	6	
49	Spectrogram 1	1	155.177714999	155.199046733	65850.3	83410.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0213	742-B5-A30_0001.flac	6	
50	Spectrogram 1	1	156.129643779	156.135569261	70471.3	80868.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0059	742-B5-A30_0001.flac	4	
51	Spectrogram 1	1	160.699079352	160.712411686	74399.3	82717.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0133	742-B5-A30_0001.flac	4	
52	Spectrogram 1	1	161.828180037	161.856918623	60767.1	78789.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0287	742-B5-A30_0001.flac	6	
53	Spectrogram 1	1	166.915206486	166.922317064	73706.1	85951.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0071	742-B5-A30_0001.flac	4	
54	Spectrogram 1	1	168.449906442	168.458794665	64926.1	76016.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0089	742-B5-A30_0001.flac	4	
55	Spectrogram 1	1	169.009864559	169.035344130	65850.3	82948.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0255	742-B5-A30_0001.flac	6	
56	Spectrogram 1	1	169.127929783	169.136373594	58225.5	64926.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0084	742-B5-A30_0001.flac	4	step 2
57	Spectrogram 1	1	169.765067299	169.781362374	70702.4	87338.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0163	742-B5-A30_0001.flac	4	
58	Spectrogram 1	1	169.874392438	169.882391838	57070.2	66543.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0080	742-B5-A30_0001.flac	4	
59	Spectrogram 1	1	171.788915819	171.818246954	43207.0	89879.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0293	742-B5-A30_0001.flac	6	
60	Spectrogram 1	1	172.173775905	172.183849224	32116.5	38817.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0101	742-B5-A30_0001.flac	1	
61	Spectrogram 1	1	172.817283314	172.838911323	64232.9	80637.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0216	742-B5-A30_0001.flac	6	
62	Spectrogram 1	1	173.081263526	173.131630121	61922.4	82024.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0504	742-B5-A30_0001.flac	6	
63	Spectrogram 1	1	173.993787853	174.004749994	26802.2	33040.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0110	742-B5-A30_0001.flac	4	
64	Spectrogram 1	1	175.158441428	175.166144554	70009.2	80406.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0077	742-B5-A30_0001.flac	4	
65	Spectrogram 1	1	180.970154160	180.985856686	49445.5	64695.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0157	742-B5-A30_0001.flac	4	
66	Spectrogram 1	1	181.002151761	181.022298399	70009.2	86645.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0201	742-B5-A30_0001.flac	6	
67	Spectrogram 1	1	181.028520155	181.044815230	58456.6	64001.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0163	742-B5-A30_0001.flac	4	
68	Spectrogram 1	1	197.261971469	197.295450440	53835.5	94963.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0335	742-B5-A30_0001.flac	6	
69	Spectrogram 1	1	200.147681447	200.155384573	72088.7	79944.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0077	742-B5-A30_0001.flac	4	
70	Spectrogram 1	1	202.458027055	202.502171894	62615.5	88262.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0441	742-B5-A30_0001.flac	6	
71	Spectrogram 1	1	203.333813349	203.341220201	67698.7	75785.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0074	742-B5-A30_0001.flac	4	
72	Spectrogram 1	1	204.425879773	204.456099730	64464.0	76247.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0302	742-B5-A30_0001.flac	4	step 3
73	Spectrogram 1	1	208.902878057	208.913247650	64464.0	73244.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0104	742-B5-A30_0001.flac	4	
74	Spectrogram 1	1	209.164191802	209.183449618	65388.2	81561.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0193	742-B5-A30_0001.flac	6	
75	Spectrogram 1	1	211.590973173	211.605786877	67236.6	86183.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0148	742-B5-A30_0001.flac	6	
76	Spectrogram 1	1	211.813771287	211.891987646	59842.9	88262.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0782	742-B5-A30_0001.flac	6	
77	Spectrogram 1	1	215.168483191	215.241662890	63770.8	83872.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0732	742-B5-A30_0001.flac	6	
78	Spectrogram 1	1	215.347136466	215.360765074	64001.8	79251.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0136	742-B5-A30_0001.flac	6	
79	Spectrogram 1	1	216.583784690	216.603635054	61922.4	75554.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0199	742-B5-A30_0001.flac	4	
