Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
51	Spectrogram 1	1	58.436380162	58.460230829	60035.8	63844.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
52	Spectrogram 1	1	58.455793496	58.482972162	62500.0	83781.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
53	Spectrogram 1	1	58.574214828	58.609158828	54883.5	63396.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
54	Spectrogram 1	1	60.252914408	60.279261074	63172.0	78629.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
55	Spectrogram 1	1	60.751282773	60.810354773	65412.2	77060.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
56	Spectrogram 1	1	66.355915025	66.405557692	57571.7	90277.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
57	Spectrogram 1	1	66.731147208	66.765259208	55331.5	84453.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
58	Spectrogram 1	1	67.777248668	67.825504668	46819.0	82437.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
59	Spectrogram 1	1	68.731552612	68.748747279	82661.3	101254.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
60	Spectrogram 1	1	68.745973946	68.780640612	63172.0	95654.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
61	Spectrogram 1	1	70.825696867	70.866464867	54211.5	85125.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
63	Spectrogram 1	1	71.332107899	71.397835899	56227.6	68100.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
64	Spectrogram 1	1	72.029601598	72.046796264	65412.2	75268.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
65	Spectrogram 1	1	72.042358931	72.052897597	84453.4	92069.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
66	Spectrogram 1	1	72.172150930	72.197388263	64964.2	74820.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
67	Spectrogram 1	1	72.272268263	72.289185596	60931.9	69444.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
68	Spectrogram 1	1	72.466401780	72.504119113	63396.1	75044.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
69	Spectrogram 1	1	72.488865779	72.499681779	87813.6	96102.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
70	Spectrogram 1	1	72.580385779	72.598135112	64292.1	74820.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
71	Spectrogram 1	1	72.588705779	72.608119112	88037.6	98566.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
72	Spectrogram 1	1	76.054264517	76.061475183	63172.0	73252.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
73	Spectrogram 1	1	76.086435183	76.093923183	56675.6	69668.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
74	Spectrogram 1	1	76.417571366	76.474979366	65412.2	84677.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
