Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos	subtipos_completo
41	Spectrogram 1	1	13.293959874	13.325626281	59811.8	71012.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
42	Spectrogram 1	1	14.016745450	14.051974328	81541.2	94310.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
43	Spectrogram 1	1	14.136286137	14.164785903	57123.7	69668.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
44	Spectrogram 1	1	14.277201648	14.324305428	57123.7	91173.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
45	Spectrogram 1	1	14.722905820	14.748238946	58915.8	66308.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 7
46	Spectrogram 1	1	14.738343194	14.748238946	75940.9	82213.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 7
47	Spectrogram 1	1	14.966341243	15.029278226	66308.2	92517.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
48	Spectrogram 1	1	15.243422303	15.291713574	57795.7	68548.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
49	Spectrogram 1	1	15.457170469	15.478941124	71012.5	89605.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
50	Spectrogram 1	1	15.691106051	15.711689215	57795.7	66308.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 8
51	Spectrogram 1	1	15.693481031	15.722772457	68996.4	87141.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 8
52	Spectrogram 1	1	15.912770818	15.951562167	51299.3	60931.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
53	Spectrogram 1	1	16.926491508	16.959741235	57987.4	64305.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
54	Spectrogram 1	1	17.196843458	17.217822452	73330.3	82806.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
55	Spectrogram 1	1	17.313613333	17.342508930	60243.7	71750.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
56	Spectrogram 1	1	17.550319644	17.561798716	59115.5	67689.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 9
57	Spectrogram 1	1	17.553090455	17.592673463	72202.2	91155.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 9
58	Spectrogram 1	1	17.693610135	17.745068047	53474.7	60469.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 10
59	Spectrogram 1	1	17.735963955	17.747838857	62725.6	84160.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 10
60	Spectrogram 1	1	18.135356431	18.148814654	61146.2	68817.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 11
61	Spectrogram 1	1	18.143273033	18.185626852	76263.5	96796.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 11
62	Spectrogram 1	1	18.271917811	18.324167383	59341.2	87319.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
63	Spectrogram 1	1	18.430249765	18.484478487	58213.0	69043.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
64	Spectrogram 1	1	18.756017926	18.767892829	73781.6	86642.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
65	Spectrogram 1	1	18.846267186	18.887829345	54377.3	87319.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
66	Spectrogram 1	1	19.326409000	19.396470926	60469.3	82355.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 12
67	Spectrogram 1	1	19.317700738	19.331950622	47833.9	56182.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 12
68	Spectrogram 1	1	19.491470065	19.537386355	51444.0	59341.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
69	Spectrogram 1	1	19.728968118	19.758655374	71976.5	89350.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
70	Spectrogram 1	1	19.854050425	19.880966871	57084.8	64981.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
71	Spectrogram 1	1	19.968049409	19.999715816	56859.2	68592.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 13
72	Spectrogram 1	1	19.987840913	19.998924156	74232.9	92509.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 13
73	Spectrogram 1	1	20.093131716	20.116881521	59566.8	66787.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 14
74	Spectrogram 1	1	20.103423299	20.116485691	69720.2	92960.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 14
75	Spectrogram 1	1	20.669064412	20.686480935	68817.7	87319.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
76	Spectrogram 1	1	20.876083547	20.900229182	57310.5	65207.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 15
77	Spectrogram 1	1	20.886770959	20.907749954	69720.2	91832.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 15
78	Spectrogram 1	1	21.201059967	21.219268151	75361.0	86191.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
79	Spectrogram 1	1	21.305559110	21.338808837	59115.5	73330.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 16
80	Spectrogram 1	1	21.327329765	21.341183818	75586.6	95893.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 16
81	Spectrogram 1	1	21.529598858	21.562056925	60694.9	70848.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
82	Spectrogram 1	1	21.982428396	22.044177890	53700.4	64756.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
83	Spectrogram 1	1	22.520361403	22.545694529	58213.0	71299.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
84	Spectrogram 1	1	22.639110429	22.665631045	61146.2	74007.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
85	Spectrogram 1	1	23.090356647	23.104210700	58213.0	65658.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
86	Spectrogram 1	1	23.313208986	23.371396009	57536.1	67238.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
87	Spectrogram 1	1	23.727643006	23.765642694	57536.1	69494.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 17
88	Spectrogram 1	1	23.751392811	23.763267714	76037.9	92734.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 17
89	Spectrogram 1	1	23.613248111	23.629872974	76714.8	88222.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
90	Spectrogram 1	1	23.853121143	23.863412726	72653.4	77843.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 18
91	Spectrogram 1	1	23.865391876	23.914078977	74909.7	96344.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 18
92	Spectrogram 1	1	25.194589064	25.208838948	61823.1	69269.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
93	Spectrogram 1	1	25.437232826	25.470482554	61371.8	73330.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
94	Spectrogram 1	1	26.680930797	26.712597204	52346.6	61371.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
95	Spectrogram 1	1	26.830950400	26.873700049	54828.5	70848.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 19
96	Spectrogram 1	1	26.853512715	26.868158428	89124.5	98826.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 19
97	Spectrogram 1	1	27.235092838	27.265571754	81001.8	98826.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
98	Spectrogram 1	1	27.358195995	27.417570508	59341.2	72202.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
99	Spectrogram 1	1	27.085469065	27.100114778	87545.1	98601.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
100	Spectrogram 1	1	27.516527948	27.583819063	55956.7	68817.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
101	Spectrogram 1	1	27.897316492	27.909983055	60694.9	70848.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 20
102	Spectrogram 1	1	27.906420584	27.930170389	84160.6	99278.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 20
103	Spectrogram 1	1	28.130856162	28.150251836	82581.2	97021.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
104	Spectrogram 1	1	28.831079504	28.858787611	58438.6	66561.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 21
105	Spectrogram 1	1	28.848891858	28.869870853	70397.1	84611.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 21
106	Spectrogram 1	1	29.188513992	29.226513680	57761.7	64981.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 22
107	Spectrogram 1	1	29.215034608	29.248284335	73104.7	85965.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 22
108	Spectrogram 1	1	29.897841426	29.952465978	60694.9	68366.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
109	Spectrogram 1	1	30.312671276	30.320587878	75586.6	83935.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 23
110	Spectrogram 1	1	30.322171198	30.331671120	82355.6	90478.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 23
111	Spectrogram 1	1	30.334837761	30.341962703	75586.6	81001.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 23
112	Spectrogram 1	1	30.645564298	30.661397502	58889.9	71976.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 24
113	Spectrogram 1	1	30.655460050	30.685543137	69494.6	97247.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 24
114	Spectrogram 1	1	30.765500814	30.819729536	59115.5	70171.5	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
115	Spectrogram 1	1	30.898103894	30.911562116	62725.6	71074.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 25
116	Spectrogram 1	1	30.905228835	30.924624509	73104.7	91832.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 25
117	Spectrogram 1	1	31.146685107	31.212392901	57987.4	100857.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 26
118	Spectrogram 1	1	31.326391966	31.394870571	57310.5	67915.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 27
119	Spectrogram 1	1	31.369933276	31.387745630	69494.6	87093.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 27
120	Spectrogram 1	1	31.486703070	31.537765152	56633.6	68592.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
121	Spectrogram 1	1	31.806533781	31.831471076	57310.5	65207.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 28
122	Spectrogram 1	1	31.814054552	31.835429377	70848.4	86417.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 28
123	Spectrogram 1	1	32.023052757	32.044031752	58213.0	64530.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
124	Spectrogram 1	1	32.361091651	32.393153888	55505.4	64981.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 29
125	Spectrogram 1	1	32.401070490	32.412153732	73556.0	88447.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	5 step 29
126	Spectrogram 1	1	32.814712850	32.907337090	54151.6	66110.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
127	Spectrogram 1	1	33.223605248	33.299604625	68817.7	93637.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
128	Spectrogram 1	1	33.393416355	33.451603378	56859.2	66561.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
129	Spectrogram 1	1	33.724726057	33.736205129	74458.5	81453.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 30
130	Spectrogram 1	1	33.737392620	33.769454857	86191.3	96119.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 30
131	Spectrogram 1	1	33.872370679	33.922245270	56182.3	66110.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
132	Spectrogram 1	1	34.028327652	34.054848268	70171.5	85514.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
133	Spectrogram 1	1	34.177951425	34.199722080	56633.6	67915.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
134	Spectrogram 1	1	34.429303530	34.449490865	57761.7	65433.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 31
135	Spectrogram 1	1	34.444740904	34.487490553	63853.8	86642.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 31
136	Spectrogram 1	1	34.577739732	34.632760114	54377.3	97021.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
137	Spectrogram 1	1	34.898362102	34.946653373	57987.4	72202.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
138	Spectrogram 1	1	35.028590120	35.055110735	62725.6	71525.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 32
139	Spectrogram 1	1	35.047589964	35.059860697	87545.1	95667.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 32
140	Spectrogram 1	1	36.628535087	36.660201494	63628.2	71074.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 33
141	Spectrogram 1	1	36.646347441	36.662576475	88222.0	102888.1	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	5 step 33
142	Spectrogram 1	1	37.261863145	37.285612950	60920.6	73330.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
143	Spectrogram 1	1	37.609797710	37.645818248	62048.7	72653.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
144	Spectrogram 1	1	37.830670899	37.864712286	66110.1	77391.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
145	Spectrogram 1	1	38.323479276	38.409374405	63969.3	84764.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 34
146	Spectrogram 1	1	38.403041123	38.424415948	57414.1	62387.0	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	1	6 step 34
147	Spectrogram 1	1	38.523373470	38.554248217	53345.4	58770.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	1	
148	Spectrogram 1	1	38.653997317	38.691997006	53345.4	61934.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	6 step 35
149	Spectrogram 1	1	38.680913763	38.703476078	65551.5	84312.8	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 35
150	Spectrogram 1	1	38.803621090	38.814704333	52441.2	58544.3	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
151	Spectrogram 1	1	39.101285234	39.191534494	65551.5	97649.2	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	
152	Spectrogram 1	1	39.264763060	39.347491548	55831.8	66455.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	4	
153	Spectrogram 1	1	39.644759862	39.698592754	54023.5	84764.9	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 36
156	Spectrogram 1	1	39.796362786	39.842674906	57414.1	92902.4	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 36
157	Spectrogram 1	1	40.034652417	40.078193726	71880.7	94258.6	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	6	6 step 37
158	Spectrogram 1	1	40.028319135	40.035048247	58318.3	66681.7	742-B5-A30_0004.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0004.flac	1	6 step 37
