"sound.files","selec","start","end","bottom.freq","top.freq","subtypes","composed.subtype","count.subtypes","composed.subtype.label","subtype.label"
"742-B5-A30_0004.flac",164,375.59004434,375.625273218,59.4485,99.2315,"4-4",164,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",165,379.17903517,379.200409994,62.613,101.2658,"4-4",165,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",166,397.596213601,397.63460912,52.6673,83.4087,"4-6",166,2,"composed.complex","complex"
"742-B5-A30_0004.flac",167,408.958514036,409.023826,54.7016,80.2441,"4-4",167,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",168,423.057582699,423.118144702,48.3725,86.1212,"4-4",168,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",169,431.686675942,431.732196402,41.3653,63.7432,"4-4-4",169,3,"composed.complex","complex"
"742-B5-A30_0004.flac",170,436.503135708,436.595759949,49.5027,85.8951,"4-4-4",170,3,"composed.complex","complex"
"742-B5-A30_0004.flac",171,442.581897379,442.603668033,55.8318,86.1212,"4-4",171,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",172,481.304761039,481.348302348,64.6474,100.8137,"4-4",172,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",173,532.599184957,532.632434684,56.5099,84.991,"4-4",173,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",174,534.830874581,534.867290949,60.5787,102.6221,"4-4",174,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",175,609.742495971,609.767433267,60.5787,105.5606,"4-4",175,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",176,672.712520604,672.73983288,74.8192,95.1195,"4-4",176,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",177,702.314470101,702.410260982,58.3183,94.7107,"6-4",177,2,"composed.complex","complex"
"742-B5-A30_0004.flac",178,717.935110303,717.988943195,56.5099,84.991,"4-4",178,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",179,731.713161776,731.740078222,59.4485,92.6763,"4-4",179,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",180,733.151608068,733.224044974,54.0235,88.3816,"4-6",180,2,"composed.complex","complex"
"742-B5-A30_0004.flac",181,745.192756515,745.208589719,60.3526,91.3201,"4-4",181,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",182,772.03992608,772.083863219,59.9005,96.0669,"4-4",182,2,"step.trill","step.trill"
"742-B5-A30_0004.flac",183,861.245760023,861.299988745,57.6401,95.3888,"4-4-4",183,3,"composed.complex","complex"
"742-B5-A30_0004.flac",184,862.732893416,862.803747001,56.962,71.4286,"4-4",184,2,"composed.trill","trill"
"742-B5-A30_0007.flac",185,1.398804381,1.414601724,64.6802,78.0039,"4-4",185,2,"composed.trill","trill"
"742-B5-A30_0007.flac",186,5.932143641,5.948187817,48.2074,63.469,"4-4",186,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",187,24.767250741,24.813655437,46.2694,82.3643,"4-6-4-4",187,4,"composed.complex","complex"
"742-B5-A30_0007.flac",188,29.728106597,29.769821457,46.9961,76.5504,"4-4",188,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",189,32.069072914,32.102148601,43.8469,79.2151,"4-4-4",189,3,"composed.complex","complex"
"742-B5-A30_0007.flac",190,33.059861937,33.082817452,52.5678,79.6996,"4-4",190,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",191,42.360787826,42.382262339,45.0581,80.6686,"4-4",191,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",192,74.224005552,74.26275841,50.1453,83.8178,"4-4",192,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",193,97.668230988,97.700566175,57.1705,86.9671,"4-4-6",193,3,"composed.complex","complex"
"742-B5-A30_0007.flac",194,112.784302837,112.805283683,46.0271,79.2151,"4-4",194,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",195,135.456436042,135.501112903,50.8721,83.0911,"4-4",195,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",196,299.129866948,299.167385638,45.5426,78.7306,"4-6",196,2,"composed.complex","complex"
"742-B5-A30_0007.flac",197,301.630534757,301.643370099,44.8159,67.345,"4-4",197,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",198,394.982149102,394.998193278,47.7229,85.0291,"4-6",198,2,"composed.complex","complex"
"742-B5-A30_0007.flac",199,603.842613022,603.87149254,45.3004,72.4322,"4-4",199,2,"step.trill","step.trill"
"742-B5-A30_0007.flac",200,765.202228404,765.225183919,64.438,78.9729,"4-4",200,2,"composed.trill","trill"
"742-B5-A30_0007.flac",201,797.601073937,797.627978787,44.0891,61.0465,"4-4",201,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",202,1.87182712,1.913188844,56.0036,92.2939,"4-4",202,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",203,2.357064152,2.396760303,56.2276,92.2939,"4-4",203,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",204,5.050019201,5.08249787,57.7957,86.9176,"4-4",204,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",205,6.238961117,6.281155627,57.7957,92.5179,"4-4",205,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",206,6.666458313,6.702823318,58.6918,93.862,"4-4-4",206,3,"composed.complex","complex"
"742-B5-A30_0009.flac",207,8.13355125,8.154370909,57.5717,86.9176,"4-4",207,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",208,9.02407786,9.04239916,66.3082,93.19,"4-4",208,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",209,10.375413305,10.424825297,66.3082,98.1183,"6-4-4",209,3,"composed.complex","complex"
"742-B5-A30_0009.flac",210,10.800967332,10.84205146,59.8118,88.7097,"4-4",210,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",211,10.945871927,10.992230369,58.6918,92.2939,"4-4",211,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",212,14.152933535,14.182081059,47.491,60.2599,"4-4",212,2,"composed.trill","trill"
"742-B5-A30_0009.flac",213,15.214459134,15.257764026,60.2599,91.8459,"4-4",213,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",214,15.893735598,15.927602244,59.3638,93.638,"4-4",214,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",215,16.195482049,16.244894041,50.8513,89.8297,"4-4",215,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",216,17.668404307,17.698384616,59.3638,73.0287,"4-4",216,2,"composed.trill","trill"
"742-B5-A30_0009.flac",217,18.487033692,18.558653321,51.5233,93.414,"4-6-4",217,3,"composed.complex","complex"
"742-B5-A30_0009.flac",218,18.991702426,19.039448845,59.5878,89.1577,"4-4",218,2,"step.trill","step.trill"
